"Klarna Checkout has failed to load. Please <a href=""javascript:;"" onclick=""location.reload(true)"">reload checkout.</a>","Klarna Checkout kunne ikke laste. Vennligst <a href=""javascript:;"" onclick=""location.reload(true)"">rlast kassen på nytt.</a>"
"Order total does not match for order #%1. Klarna total is %2 vs Magento total %3","Ordretotal matcher ikke for ordre #%1. Klarnas total er %2 og Magentos total er %3."
"Unable to process order. Please try again","Kjøpet kunne ikke gjennomføres. Vennligst prøv igjen. "
"Order already exist.","Kjøpet eksisterer allerede. "
"Unable to complete order. Please try again","Kunne ikke fullføre kjøpet. Vennligst prøv igjen."
"Klarna Checkout","Klarna Checkout"
"Unable to initialize Klarna checkout order","Kunne ikke initialisere Klarna Checkout ordre"
"Unable to initialize Klarna checkout order. Klarna api error: %1","Kunne ikke initialisere Klarna Checkout ordre. Klarna API feilmelding: %1"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Det finnes allerede en kunde registrert med denne e-postadressen. Vennligst logg inn med denne e-postadressen, eller bruk en annen e-postadresse for å registrere din konto."
"Invalid checkout type.","Ugyldig checkout type."
"Sorry, guest checkout is not enabled. Please try again or contact the store owner.","Beklager, det er ikke mulig å gå til kassen som gjest. Vennligst prøv på nytt eller kontakt butikken."
"Customer Address is not valid.","Kundens adresse er ugyldig."
"Please enter a valid email address.","Vennligst oppgi en gyldig e-postadresse."
"Sorry, but administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Du kan desverre ikke abonnere som gjest. Vennligst <a href=""%1"">register</a>."
"Confirmation request has been sent.","Bekreftelsesforespørsel er sendt. "
"Thank you for your subscription.","Takk for at du abonnerer. "
"There was a problem with the subscription: %1","Det opptstod et problem med abonneringen. %1"
"There was a problem with the subscription.","Det opptstod et problem med abonneringen."
"Shipping Countries",Fraktland
"Supported shipping countries for Klarna.","Fraktand støttet av Klarna"
"Disable Klarna for specific customer groups","Deaktivere Klarna for spesifikke kundegrupper"
"Selected groups will see standard checkout instead of Klarna checkout.","Valgte grupper vil se standard checkout i stedet for Klarna Checkout."
"External Payment Methods","Eksterne betalingsmetoder"
"Merchant Checkbox","Avkrysningsboks for butikk"
"Enable a checkbox within the checkout to trigger user behavior. May not be available in all markets.","Muliggjør en avkrysningsboks i kassen for å kartlegge brukeratferd. Ikke tilgjengelig i alle land."
"Merchant Checkbox Text","Tekst i avkrysningsboks for butikk "
"Leave blank to use default text with selected method.","La feltet være tomt for å bruke standardtekst sammen med den valgte metoden."
"Merchant Checkbox Required","Obligatorisk avkrysningsboks for butikk."
"If the checkbox must be checked before the customer can place the order.","Om avkrysningsboksen må avkrysses før kunden kan gjøre kjøpet."
"Merchant Checkbox Checked","Avkrysningsboks for butikk avkrysset"
"If the checkbox will be checked by default.","Om avkrysningsboksen er avkrysset som standardvalg"
"Allow Guest Checkout","Tillat kasse for gjester"
"If guests are allowed to buy through KCO. If not, guest customers will be redirected to Magento's default checkout. Registered customers will still see KCO.","Hvis gjester kan handle gjennom KCO. Hvis ikke, blir disse kundene omdirigert til Magentos standardkasse. Registrerte kunder vil fortsatt kunne se KCO."
"URL to terms and conditions","URL til betingelser og vilkår."
"URL to this store's own terms and conditions.","URL til butikkens egne betingelser og vilkår."
"Separate shipping addresses","Separate fraktadresser"
"Allow shipping address to be different from billing address.","Tillat fraktadressen å være en annen enn fakturaadressen"
"Auto focus Klarna Checkout","Auto focus Klarna Checkout"
"Pre-fill Customer Details","Autoutfyll kundeopplysninger"
"Pre-fill Klarna Checkout with stored customer data.","Autoutfyll Klarna Checkout med lagrede kundeopplysninger"
"Title mandatory","Tittel obligatorisk"
"Only available in certain markets.","Kun tilgjengelig i visse markeder."
"Date of birth mandatory","Fødselsdato obligatorisk"
"Checkout button color","Farge på kjøpsknapp"
"Checkout button text color","Farge på kjøpsknapp-tekst"
"Checkout checkbox color","Farge på avkrysningsboks i kassen"
"Checkout checkbox check mark color","Farge på krysset i avkrysningsboksen i kassen"
"Checkout header color","Farge på kassens header"
"Checkout link color","Farge på kassens link"
"Example: #0072CC","Eksempel: #0072CC"
"PayPal Express","Paypal Express"
"Checkout using PayPal.","Betal med PayPal"
"Newsletter Signup","Abonner på nyhetsbrev"
"Signup to our newsletter","Abonner på vårt nyhetsbrev"
"Create Account","Skap konto"
"Create account for faster checkout next time","Skap en konto for raskere betaling i kassen"
"We use Klarna Checkout as our checkout, which offers a simplified purchase experience. When you choose to go to the checkout, your email address, first name, last name, date of birth, address and phone number may be automatically transferred to Klarna Bank AB (publ), enabling the provision of Klarna Checkout. <a href='%1' target='_blank'>These User Terms</a> apply for the use of Klarna Checkout.","Vi bruker Klarna Checkout som vår kasseløsning, som tilbyr en forenklet kjøpsopplevelse. For at Klarna Checkout skal kunne tilbys, kan din e-postadresse, fornavn, etternavn, fødselsdato, adresse og telefonnummer, automatisk bli overført til Klarna Bank (publ). <a href='%1' target='_blank'> Disse vilkårene</a> gjelder ved bruk av Klarna Checkout.    "
"C/O ",C/o
"Fill Address Details","Fyll inn adresseinformasjon"
"Apply the terms of use for data transmission","Tillemp brukervillår for dataoverførsel"
"Packstation Enabled","Utleveringssted aktivert"
"Customer pre-fill notice Enabled","Autoutfyll-varsel til kunden aktivert"
"Display a pre-fill notice to registered customer before submitting details to Klarna. The customer must accept the notice before continuing checkout.","Vis en autoutfyll-varsel til registrerte kunder før informasjon sendes til Klarna. Kunder må akseptere før de fortsetter til kassen."
"Checkbox Id",Avkrysningsboks-ID
"Checked By Default","Avkrysset som standard "
"Required By Default","Obligatorisk som standard"
"Checkbox Text","Tekst i avkrysningsboks"
"Invalid Klarna API Credentials. Please check your Merchant ID, Shared Secret, and selected API Version.","Ugyldig Klarna API detaljer. Vennligst sjekk din butikk-ID, Delte hemmelighet og valgt API versjon."
"Order processed by Klarna.","Orderen er behandlet av Klarna."
"Acknowledge call failed. Check log for details.","Kunne ikke bekrefte. Sjekk loggen for mer informasjon."
"Klarna order id required for update","Klarna ordre-ID må oppdateres"
"Klarna order is already finished.","Klarnaorderen er allerede fullført"
Select,Velg
"Klarna Checkout module api configuration warning:","Klarna Checkout modul API-konfigurering advarsel:"
"You cannot use both Klarna Checkout and Klarna Payments in the same website. Please disable one of them and try again.","Du kan ikke bruke både Klarna Checkout og Klarna Payments på samme nettside. Vennligst deaktiver en av dem og prøv igjen."
"Store(s) affected: ","Berørt(e) nettbutikk(er): "
"When using Klarna Checkout, please select a “Klarna Checkout” API version instead of a “Klarna Payments” one.","Når Klarna Checkout er i bruk, vennligst velg “Klarna Checkout” API versjon, i stedet for “Klarna Payments”."
"Klarna Checkout title mandatory warning:","Klarna Checkout tittel obligatorisk advarsel:"
"The title value from the Klarna Checkout and customer settings are incorrectly configured. Either they should both be required or you can leave the setting as optional under customer settings. However, if the setting is “required” under customer settings then it must be set to “required” under Klarna Checkout as well.","Tittel-verdien fra Klarna Checkout og kundeinstillingene er konfigurert feil. Enten skal begge kreves, eller så kan du ha instillingen som valgfri under kundeinstillinger. Om instillingen er pålagt under kundeinstillinger, må den også være pålagt under Klarna Checkout. "
"Click here to go to <a href=""%1"">Klarna Checkout Configuration</a> and change your settings.","Klikk her for å gå til <a href=""%1"">Klarna Checkout Configuration</a> for å endre dine instillinger."
"Klarna Checkout phone mandatory warning:","Klarna Checkout telefon obligatorisk advarsel:"
"The phone value from the Klarna Checkout and customer settings are incorrectly configured. Either they should both be required or you can leave the setting as optional under customer settings. However, if the setting is “required” under customer settings then it must be set to “required” under Klarna Checkout as well.","Telefon-verdien fra Klarna Checkout og kundeinstillingene er konfigurert feil. Enten skal begge kreves, eller så kan du ha instillingen som valgfri under kundeinstillinger. Om instillingen er pålagt under kundeinstillinger, må den også være pålagt under Klarna Checkout. "
"Klarna Checkout date of birth mandatory warning:","Klarna Checkout fødselsdato obligatorisk advarsel:"
"The date of birth value from the Klarna Checkout and customer settings are incorrectly configured. Either they should both be required or you can leave the setting as optional under customer settings. However, if the setting is “required” under customer settings then it must be set to “required” under Klarna Checkout as well.","Fødselsdato-verdien fra Klarna Checkout og kundeinstillingene er konfigurert feil. Enten skal begge kreves, eller så kan du ha instillingen som valgfri under kundeinstillinger. Om instillingen er pålagt under kundeinstillinger, må den også være pålagt under Klarna Checkout. "
"Update Payment Status","Oppdater betalingsstatus"
"Shipping Methods",Fraktalternativ
"Select Method","Velg fraktalternativ"
Price,Pris
"Method Title","Tittel på fraktaltalternativ"
"Carrier Title","Navn på fraktselskapet"
"Sorry, no quotes are available for this order at this time","Beklager, prisen på denne bestillingen er ikke tilgjengelig for øyeblikket."
"No shipping methods available for entered address","Ingen fraktmetoder tilgjengelig for valgt adresse"
"Additional payment methods not processed through Klarna, e.g. PayPal, that can be included on the Klarna checkout page. Make sure to enable the specific payment method first for it to show up in the list","Andre betalingsmetoder som ikke går gjennom av Klarna, for eksempel PayPal, kan inkluderes på Klarna Checkout siden. Aktiver de spesifike betalingsalternativene først for at de skal synes på listen."
"URL to cancellation terms","URL til kanselleringsvillkår."
"URL to this store's own cancellation terms and conditions.","URL til butikkens egne kansellerings- og kjøpsvillår."
"URL to redirect for checkout failures","URL til omdirigering ved problemer med kassen."
"Must be a fully qualified URL. If left blank, defaults to the cart URL.","Må være en aktiv URL. Hvis feltet er tomt, følger omdirigering til handlekurv."
"Shipping methods in iframe","Fraktalternativ i iframe"
"Display shipping methods in Klarna iframe. (This is ignored and forced to 'no' in some markets)","Vis fraktalternativ i Klarna iframe. (Dette ignoreres og omgjøres til ""nei"" for noen markeder)"
"Customer pre-fill notice","Kundens autoutfyll-varsel"
"Display a pre-fill notice to registered customer before submitting details to Klarna. The customer must accept the notice to have their account details shared with Klarna.","Vis en autoutfyll-varsel til registrerte kunder før informasjon sendes til Klarna. Kunden på godkjenne at kontoinformasjon skal deles med Klarna. "
"National identification number mandatory","Personnummer obligatorisk"
"Telephone number mandatory","Telefonnummer obligatorisk"
"Only available in certain markets. NOTE: You must also update the attribute in Magento to make this field optional if you set this to ""no""","Kun tilgjengelig i visse markeder. MERK: Du må også oppdatere attributen i Magento, for å gjøre dette feltet valgfritt hvis du merker det av med ""nei""."
"Enable B2B mode","Aktiver B2B-modus"
"Enable B2B checkout mode","Aktiver B2B checkout-modus"
"Business ID attribute","Bedrift-ID attribut"
"Custom attribute for business id","Tilpasset attribut for bedrift-ID"
"Custom Checkboxes","Tilpasset avkrysningsboks"
"Add multiple additional custom checkboxes to Klarna Checkout.","Legg til flere tilpassede avkrysningsbokser i Klarna Checkout"
"Checkout border radius",Checkout-grenseradius
"Example: 0px","Eksempel: 0px"
"Klarna Checkout (North America)","Klarna Checkout (North America)"
"Klarna Checkout (Europe)","Klarna Checkout (Europe)"
"Klarna Checkout (Netherlands)","Klarna Checkout (Netherlands)"
"Klarna Checkout (DACH)","Klarna Checkout (DACH)"
